,cosmic_id,assay_name
687812,687812,5500994172383112813930_F02
687980,687980,5500994172948120113978_F02
687562,687562,5500994173212120213068_F03
908462,908462,5500994157493061613625_F03
910687,910687,5500994158987071513209_F03
1298169,1298169,5500994158987071513202_F03
724838,724838,5500994158987071513207_F03
930083,930083,5500994158987071513201_F03
688022,688022,5500994172383112813930_F03
1290798,1290798,5500994157493061613625_F04
753535,753535,5500994158987071513209_F04
753578,753578,5500994158987071513202_F04
909780,909780,5500994158987071513207_F04
909721,909721,5500994172383112813928_F04
909251,909251,5500994158987071513201_F04
688026,688026,5500994172383112813930_F04
688001,688001,5500994172948120113978_F04
1298145,1298145,5500994173212120213068_F05
905976,905976,5500994157493061613625_F05
910700,910700,5500994158987071513209_F05
753551,753551,5500994172383112813929_F05
724863,724863,5500994158987071513202_F05
1331049,1331049,5500994158987071513207_F05
907274,907274,5500994172383112813928_F05
1298529,1298529,5500994158987071513201_F05
688027,688027,5500994172383112813930_F05
910937,910937,5500994172948120113978_F05
753540,753540,5500994173212120213068_F06
906844,906844,5500994157493061613625_F06
753624,753624,5500994158987071513209_F06
949160,949160,5500994172383112813929_F06
998189,998189,5500994158987071513202_F06
713885,713885,5500994158987071513207_F06
907286,907286,5500994172383112813928_F06
1330987,1330987,5500994158987071513201_F06
949171,949171,5500994172383112813930_F06
908142,908142,5500994172948120113978_F06
1298475,1298475,5500994173212120213068_F07
1240212,1240212,5500994157493061613625_F07
910703,910703,5500994158987071513209_F07
906854,906854,5500994172383112813929_F07
907783,907783,5500994158987071513202_F07
753614,753614,5500994158987071513207_F07
949153,949153,5500994172383112813928_F07
687799,687799,5500994158987071513201_F07
908451,908451,5500994172383112813930_F07
1240147,1240147,5500994172948120113978_F07
908468,908468,5500994173212120213068_F08
1298151,1298151,5500994157493061613625_F08
906821,906821,5500994158987071513209_F08
905937,905937,5500994172383112813929_F08
1240129,1240129,5500994158987071513202_F08
1240223,1240223,5500994158987071513207_F08
907057,907057,5500994172383112813928_F08
722058,722058,5500994158987071513201_F08
949175,949175,5500994172383112813930_F08
753581,753581,5500994172948120113978_F08
907790,907790,5500994173212120213068_F09
